Vg, I
4.30220883534,-1.777e-06
4.29718875502,-1.907e-06
4.2921686747,-2.06e-06
4.28714859438,-2.2e-06
4.28212851406,-2.35e-06
4.27710843373,-2.51e-06
4.27208835341,-2.68e-06
4.26706827309,-2.85e-06
4.26204819277,-3.02e-06
4.25702811245,-3.22e-06
4.25200803213,-3.41e-06
4.24698795181,-3.61e-06
4.24196787149,-3.82e-06
4.23694779116,-4.03e-06
4.23192771084,-4.26e-06
4.22690763052,-4.49e-06
4.2218875502,-4.73e-06
4.21686746988,-4.98e-06
4.21184738956,-5.23e-06
4.20682730924,-5.49e-06
4.20180722892,-5.76e-06
4.19678714859,-6.04e-06
4.19176706827,-6.33e-06
4.18674698795,-6.62e-06
4.18172690763,-6.93e-06
4.17670682731,-7.23e-06
4.17168674699,-7.56e-06
4.16666666667,-7.88e-06
4.16164658635,-8.21e-06
4.15662650602,-8.55e-06
4.1516064257,-8.91e-06
4.14658634538,-9.26e-06
4.14156626506,-9.6e-06
4.13654618474,-9.97e-06
4.13152610442,-1.035e-05
4.1265060241,-1.071e-05
4.12148594378,-1.11e-05
4.11646586345,-1.15e-05
4.11144578313,-1.19e-05
4.10642570281,-1.23e-05
4.10140562249,-1.273e-05
4.09638554217,-1.316e-05
4.09136546185,-1.359e-05
4.08634538153,-1.402e-05
4.0813253012,-1.446e-05
4.07630522088,-1.493e-05
4.07128514056,-1.539e-05
4.06626506024,-1.586e-05
4.06124497992,-1.656e-05
4.0562248996,-1.705e-05
4.05120481928,-1.755e-05
4.04618473896,-1.805e-05
4.04116465863,-1.855e-05
4.03614457831,-1.908e-05
4.03112449799,-1.958e-05
4.02610441767,-2.04e-05
4.02108433735,-2.08e-05
4.01606425703,-2.14e-05
4.01104417671,-2.19e-05
4.00602409639,-2.25e-05
4.00100401606,-2.3e-05
3.99598393574,-2.42e-05
3.99096385542,-2.48e-05
3.9859437751,-2.54e-05
3.98092369478,-2.6e-05
3.97590361446,-2.66e-05
3.97088353414,-2.73e-05
3.96586345382,-2.79e-05
3.96084337349,-2.86e-05
3.95582329317,-2.92e-05
3.95080321285,-2.98e-05
3.94578313253,-3.05e-05
3.94076305221,-3.11e-05
3.93574297189,-3.18e-05
3.93072289157,-3.25e-05
3.92570281124,-3.31e-05
3.92068273092,-3.38e-05
3.9156626506,-3.45e-05
3.91064257028,-3.52e-05
3.90562248996,-3.59e-05
3.90060240964,-3.66e-05
3.89558232932,-3.73e-05
3.890562249,-3.81e-05
3.88554216867,-3.88e-05
3.88052208835,-3.95e-05
3.87550200803,-4.02e-05
3.87048192771,-4.11e-05
3.86546184739,-4.19e-05
3.86044176707,-4.26e-05
3.85542168675,-4.34e-05
3.85040160643,-4.42e-05
3.8453815261,-4.5e-05
3.84036144578,-4.58e-05
3.83534136546,-4.66e-05
3.83032128514,-4.74e-05
3.82530120482,-4.83e-05
3.8202811245,-4.91e-05
3.81526104418,-5e-05
3.81024096386,-5.08e-05
3.80522088353,-5.17e-05
3.80020080321,-5.26e-05
3.79518072289,-5.34e-05
3.79016064257,-5.43e-05
3.78514056225,-5.52e-05
3.78012048193,-5.61e-05
3.77510040161,-5.7e-05
3.77008032129,-5.79e-05
3.76506024096,-5.88e-05
3.76004016064,-5.98e-05
3.75502008032,-6.07e-05
3.75,-6.16e-05
3.75,-6.16e-05
3.69932432432,-7.14e-05
3.64864864865,-8.16e-05
3.59797297297,-9.25e-05
3.5472972973,-0.0001043
3.49662162162,-0.0001164
3.44594594595,-0.0001292
3.39527027027,-0.0001422
3.34459459459,-0.0001554
3.29391891892,-0.0001697
3.24324324324,-0.0001846
3.19256756757,-0.0001996
3.14189189189,-0.000215
3.09121621622,-0.00023
3.04054054054,-0.000246
2.98986486486,-0.000263
2.93918918919,-0.000281
2.88851351351,-0.000299
2.83783783784,-0.000317
2.78716216216,-0.000336
2.73648648649,-0.000355
2.68581081081,-0.000374
2.63513513514,-0.000394
2.58445945946,-0.000413
2.53378378378,-0.000434
2.48310810811,-0.000455
2.43243243243,-0.000477
2.38175675676,-0.000497
2.33108108108,-0.000519
2.28040540541,-0.000541
2.22972972973,-0.000563
2.17905405405,-0.000587
2.12837837838,-0.00061
2.0777027027,-0.000633
2.02702702703,-0.000657
1.97635135135,-0.000682
1.92567567568,-0.000706
1.875,-0.000731
1.82432432432,-0.000755
1.77364864865,-0.000781
1.72297297297,-0.000807
1.6722972973,-0.000832
1.62162162162,-0.000858
1.57094594595,-0.000884
1.52027027027,-0.000911
1.46959459459,-0.000939
1.41891891892,-0.000965
1.36824324324,-0.000993
1.31756756757,-0.00102
1.26689189189,-0.001048
1.21621621622,-0.001076
1.16554054054,-0.001104
1.11486486486,-0.001132
1.06418918919,-0.001161
1.01351351351,-0.00119
0.962837837838,-0.00122
0.912162162162,-0.001249
0.861486486486,-0.001278
0.810810810811,-0.001308
0.760135135135,-0.001338
0.709459459459,-0.001368
0.658783783784,-0.001399
0.608108108108,-0.001429
0.557432432432,-0.00146
0.506756756757,-0.001491
0.456081081081,-0.001523
0.405405405405,-0.001554
0.35472972973,-0.001586
0.304054054054,-0.001617
0.253378378378,-0.001648
0.202702702703,-0.00168
0.152027027027,-0.001712
0.101351351351,-0.001744
0.0506756756757,-0.001777
0.0,-0.001809
