Vg, I
1.19979919679,0.0001517
1.20481927711,0.000154
1.20983935743,0.0001563
1.21485943775,0.0001587
1.21987951807,0.0001612
1.22489959839,0.0001636
1.22991967871,0.0001661
1.23493975904,0.0001686
1.23995983936,0.0001712
1.24497991968,0.0001737
1.25,0.0001763
1.25,0.0001763
1.30067567568,0.0002023
1.35135135135,0.000231
1.40202702703,0.000259
1.4527027027,0.000291
1.50337837838,0.000325
1.55405405405,0.000361
1.60472972973,0.000398
1.65540540541,0.000437
1.70608108108,0.000477
1.75675675676,0.000519
1.80743243243,0.000563
1.85810810811,0.00061
1.90878378378,0.000658
1.95945945946,0.000705
2.01013513514,0.000756
2.06081081081,0.000809
2.11148648649,0.00086
2.16216216216,0.000914
2.21283783784,0.00097
2.26351351351,0.001028
2.31418918919,0.001086
2.36486486486,0.001144
2.41554054054,0.001204
2.46621621622,0.001265
2.51689189189,0.00133
2.56756756757,0.001395
2.61824324324,0.001459
2.66891891892,0.001525
2.71959459459,0.001593
2.77027027027,0.001662
2.82094594595,0.001733
2.87162162162,0.001804
2.9222972973,0.001875
2.97297297297,0.001949
3.02364864865,0.00203
3.07432432432,0.0021
3.125,0.00218
3.17567567568,0.00226
3.22635135135,0.00233
3.27702702703,0.00242
3.3277027027,0.0025
3.37837837838,0.00258
3.42905405405,0.00266
3.47972972973,0.00274
3.53040540541,0.00283
3.58108108108,0.00292
3.63175675676,0.003
3.68243243243,0.00309
3.73310810811,0.00318
3.78378378378,0.00327
3.83445945946,0.00336
3.88513513514,0.00345
3.93581081081,0.00354
3.98648648649,0.00363
4.03716216216,0.00374
4.08783783784,0.00383
4.13851351351,0.00393
4.18918918919,0.00402
4.23986486486,0.00412
4.29054054054,0.00422
4.34121621622,0.00432
4.39189189189,0.00442
4.44256756757,0.00452
4.49324324324,0.00462
4.54391891892,0.00473
4.59459459459,0.00483
4.64527027027,0.00492
4.69594594595,0.00502
4.74662162162,0.00513
4.7972972973,0.00523
4.84797297297,0.00534
4.89864864865,0.00545
4.94932432432,0.00556
5.0,0.00567
