Vs, I
3.09309309309,0.000514
3.08808808809,0.000512
3.08308308308,0.000509
3.07807807808,0.000507
3.07307307307,0.000505
3.06806806807,0.000502
3.06306306306,0.0005
3.05805805806,0.000497
3.05305305305,0.000495
3.04804804805,0.000493
3.04304304304,0.00049
3.03803803804,0.000488
3.03303303303,0.000485
3.02802802803,0.000483
3.02302302302,0.00048
3.01801801802,0.000478
3.01301301301,0.000476
3.00800800801,0.000473
3.003003003,0.000471
2.997997998,0.000469
2.99299299299,0.000466
2.98798798799,0.000464
2.98298298298,0.000462
2.97797797798,0.000459
2.97297297297,0.000457
2.96796796797,0.000455
2.96296296296,0.000453
2.95795795796,0.00045
2.95295295295,0.000448
2.94794794795,0.000445
2.94294294294,0.000443
2.93793793794,0.000441
2.93293293293,0.000439
2.92792792793,0.000436
2.92292292292,0.000434
2.91791791792,0.000432
2.91291291291,0.00043
2.90790790791,0.000428
2.9029029029,0.000426
2.8978978979,0.000423
2.89289289289,0.000421
2.88788788789,0.000419
2.88288288288,0.000417
2.87787787788,0.000415
2.87287287287,0.000412
2.86786786787,0.00041
2.86286286286,0.000408
2.85785785786,0.000406
2.85285285285,0.000404
2.84784784785,0.000402
2.84284284284,0.0004
2.83783783784,0.000397
2.83283283283,0.000395
2.82782782783,0.000393
2.82282282282,0.000391
2.81781781782,0.000389
2.81281281281,0.000387
2.80780780781,0.000384
2.8028028028,0.000382
2.7977977978,0.00038
2.79279279279,0.000378
2.78778778779,0.000376
2.78278278278,0.000374
2.77777777778,0.000372
2.77277277277,0.00037
2.76776776777,0.000368
2.76276276276,0.000365
2.75775775776,0.000364
2.75275275275,0.000361
2.74774774775,0.000359
2.74274274274,0.000357
2.73773773774,0.000355
2.73273273273,0.000353
2.72772772773,0.000351
2.72272272272,0.000349
2.71771771772,0.000347
2.71271271271,0.000345
2.70770770771,0.000343
2.7027027027,0.000341
2.6976976977,0.000339
2.69269269269,0.000337
2.68768768769,0.000335
2.68268268268,0.000333
2.67767767768,0.000331
2.67267267267,0.000329
2.66766766767,0.000327
2.66266266266,0.000325
2.65765765766,0.000323
2.65265265265,0.000321
2.64764764765,0.000319
2.64264264264,0.000317
2.63763763764,0.000315
2.63263263263,0.000313
2.62762762763,0.000311
2.62262262262,0.000309
2.61761761762,0.000307
2.61261261261,0.000305
2.60760760761,0.000304
2.6026026026,0.000301
2.5975975976,0.0003
2.59259259259,0.000298
2.58758758759,0.000296
2.58258258258,0.000294
2.57757757758,0.000292
2.57257257257,0.00029
2.56756756757,0.000288
2.56256256256,0.000286
2.55755755756,0.000285
2.55255255255,0.000283
2.54754754755,0.000281
2.54254254254,0.000279
2.53753753754,0.000277
2.53253253253,0.000275
2.52752752753,0.000273
2.52252252252,0.000272
2.51751751752,0.00027
2.51251251251,0.000268
2.50750750751,0.000266
2.5025025025,0.000264
2.4974974975,0.000262
2.49249249249,0.00026
2.48748748749,0.000259
2.48248248248,0.000257
2.47747747748,0.000255
2.47247247247,0.000253
2.46746746747,0.000251
2.46246246246,0.00025
2.45745745746,0.000248
2.45245245245,0.000246
2.44744744745,0.000244
2.44244244244,0.000243
2.43743743744,0.000241
2.43243243243,0.000239
2.42742742743,0.000237
2.42242242242,0.000236
2.41741741742,0.000234
2.41241241241,0.000232
2.40740740741,0.00023
2.4024024024,0.000229
2.3973973974,0.000227
2.39239239239,0.000225
2.38738738739,0.000224
2.38238238238,0.000222
2.37737737738,0.00022
2.37237237237,0.000219
2.36736736737,0.000217
2.36236236236,0.000215
2.35735735736,0.000214
2.35235235235,0.000212
2.34734734735,0.000211
2.34234234234,0.000209
2.33733733734,0.000207
2.33233233233,0.000205
2.32732732733,0.000204
2.32232232232,0.000202
2.31731731732,0.000201
2.31231231231,0.000199
2.30730730731,0.000197
2.3023023023,0.000196
2.2972972973,0.000194
2.29229229229,0.000193
2.28728728729,0.000191
2.28228228228,0.00019
2.27727727728,0.000188
2.27227227227,0.000187
2.26726726727,0.000185
2.26226226226,0.000183
2.25725725726,0.000182
2.25225225225,0.00018
2.24724724725,0.000179
2.24224224224,0.000177
2.23723723724,0.000176
2.23223223223,0.000174
2.22722722723,0.000173
2.22222222222,0.000171
2.21721721722,0.00017
2.21221221221,0.000168
2.20720720721,0.000167
2.2022022022,0.000165
2.1971971972,0.000164
2.19219219219,0.000162
2.18718718719,0.000161
2.18218218218,0.00016
2.17717717718,0.000158
2.17217217217,0.000157
2.16716716717,0.000155
2.16216216216,0.000154
2.15715715716,0.000152
2.15215215215,0.000151
2.14714714715,0.000149
2.14214214214,0.000148
2.13713713714,0.000147
2.13213213213,0.000145
2.12712712713,0.000144
2.12212212212,0.000142
2.11711711712,0.000141
2.11211211211,0.00014
2.10710710711,0.000138
2.1021021021,0.000137
2.0970970971,0.000136
2.09209209209,0.000134
2.08708708709,0.000133
2.08208208208,0.000132
2.07707707708,0.00013
2.07207207207,0.000129
2.06706706707,0.000128
2.06206206206,0.000126
2.05705705706,0.000125
2.05205205205,0.000124
2.04704704705,0.000123
2.04204204204,0.000121
2.03703703704,0.00012
2.03203203203,0.000118
2.02702702703,0.000117
2.02202202202,0.000116
2.01701701702,0.000115
2.01201201201,0.000113
2.00700700701,0.000112
2.002002002,0.000111
1.996996997,0.00011
1.99199199199,0.000109
1.98698698699,0.000108
1.98198198198,0.000106
1.97697697698,0.000105
1.97197197197,0.000104
1.96696696697,0.000103
1.96196196196,0.000102
1.95695695696,0.000101
1.95195195195,9.9e-05
1.94694694695,9.79e-05
1.94194194194,9.68e-05
1.93693693694,9.56e-05
1.93193193193,9.45e-05
1.92692692693,9.34e-05
1.92192192192,9.23e-05
1.91691691692,9.11e-05
1.91191191191,9e-05
1.90690690691,8.89e-05
1.9019019019,8.78e-05
1.8968968969,8.67e-05
1.89189189189,8.57e-05
1.88688688689,8.46e-05
1.88188188188,8.35e-05
1.87687687688,8.24e-05
1.87187187187,8.14e-05
1.86686686687,8.03e-05
1.86186186186,7.93e-05
1.85685685686,7.82e-05
1.85185185185,7.72e-05
1.84684684685,7.62e-05
1.84184184184,7.51e-05
1.83683683684,7.41e-05
1.83183183183,7.31e-05
1.82682682683,7.21e-05
1.82182182182,7.11e-05
1.81681681682,7.01e-05
1.81181181181,6.91e-05
1.80680680681,6.82e-05
1.8018018018,6.72e-05
1.7967967968,6.62e-05
1.79179179179,6.53e-05
1.78678678679,6.43e-05
1.78178178178,6.33e-05
1.77677677678,6.24e-05
1.77177177177,6.14e-05
1.76676676677,6.05e-05
1.76176176176,5.96e-05
1.75675675676,5.86e-05
1.75175175175,5.77e-05
1.74674674675,5.67e-05
1.74174174174,5.58e-05
1.73673673674,5.49e-05
1.73173173173,5.4e-05
1.72672672673,5.31e-05
1.72172172172,5.23e-05
1.71671671672,5.14e-05
1.71171171171,5.05e-05
1.70670670671,4.97e-05
1.7017017017,4.89e-05
1.6966966967,4.8e-05
1.69169169169,4.72e-05
1.68668668669,4.63e-05
1.68168168168,4.55e-05
1.67667667668,4.47e-05
1.67167167167,4.39e-05
1.66666666667,4.31e-05
1.66166166166,4.23e-05
1.65665665666,4.15e-05
1.65165165165,4.07e-05
1.64664664665,3.99e-05
1.64164164164,3.92e-05
1.63663663664,3.84e-05
1.63163163163,3.76e-05
1.62662662663,3.69e-05
1.62162162162,3.62e-05
1.61661661662,3.54e-05
1.61161161161,3.47e-05
1.60660660661,3.4e-05
1.6016016016,3.32e-05
1.5965965966,3.25e-05
1.59159159159,3.18e-05
1.58658658659,3.12e-05
1.58158158158,3.05e-05
1.57657657658,2.98e-05
1.57157157157,2.91e-05
1.56656656657,2.85e-05
1.56156156156,2.79e-05
1.55655655656,2.72e-05
1.55155155155,2.66e-05
1.54654654655,2.6e-05
1.54154154154,2.53e-05
1.53653653654,2.47e-05
1.53153153153,2.41e-05
1.52652652653,2.35e-05
1.52152152152,2.29e-05
1.51651651652,2.23e-05
1.51151151151,2.17e-05
1.50650650651,2.11e-05
1.5015015015,2.06e-05
1.4964964965,2e-05
1.49149149149,1.94e-05
1.48648648649,1.89e-05
1.48148148148,1.84e-05
1.47647647648,1.78e-05
1.47147147147,1.73e-05
1.46646646647,1.68e-05
1.46146146146,1.63e-05
1.45645645646,1.58e-05
1.45145145145,1.54e-05
1.44644644645,1.49e-05
1.44144144144,1.44e-05
1.43643643644,1.4e-05
1.43143143143,1.35e-05
1.42642642643,1.31e-05
1.42142142142,1.26e-05
1.41641641642,1.22e-05
1.41141141141,1.18e-05
1.40640640641,1.14e-05
1.4014014014,1.09e-05
1.3963963964,1.05e-05
1.39139139139,1.01e-05
1.38638638639,9.87e-06
1.38138138138,9.49e-06
1.37637637638,9.12e-06
1.37137137137,8.75e-06
1.36636636637,8.39e-06
1.36136136136,8.04e-06
1.35635635636,7.7e-06
1.35135135135,7.37e-06
1.34634634635,7.05e-06
1.34134134134,6.73e-06
1.33633633634,6.42e-06
1.33133133133,6.12e-06
1.32632632633,5.83e-06
1.32132132132,5.55e-06
1.31631631632,5.27e-06
1.31131131131,5.01e-06
1.30630630631,4.75e-06
1.3013013013,4.49e-06
1.2962962963,4.25e-06
1.29129129129,4.01e-06
1.28628628629,3.78e-06
1.28128128128,3.56e-06
1.27627627628,3.34e-06
1.27127127127,3.13e-06
1.26626626627,2.93e-06
1.26126126126,2.74e-06
1.25625625626,2.55e-06
1.25125125125,2.37e-06
1.24624624625,2.19e-06
1.24124124124,2.03e-06
1.23623623624,1.87e-06
1.23123123123,1.72e-06
1.22622622623,1.58e-06
